Month,Time,Sun,Mon,Tues,Wed,Thurs,Fri,Sat
October,0,70.5,70.2,70.4,70,67.4,69.1,70.6
,1,70.6,70,69.5,69.5,67.5,68.1,69.9
,2,70.1,69.6,69.4,69.2,67.5,68.1,70
,3,70.9,70,70,69.7,68.6,69.2,70.4
,4,70.7,72,71.8,71.6,70.9,70.9,70.8
,5,71.6,71.7,71.8,71.5,71.1,71,71.2
,6,71.6,66.4,66,67.1,66.7,66.1,70.7
,7,71.5,53.6,59.2,60.4,60.1,63.4,70
,8,72.1,54.6,57.7,55.1,61.3,64.1,70.8
,9,72,64.6,64.6,64.6,66,66.1,70
,10,71.8,68.6,68.1,68.2,68.3,67.7,70.1
,11,71.1,68.7,68.6,68.4,68.6,68,69.7
,12,70.4,68.5,68.6,67.5,67.8,67.6,68.9
,13,69.9,68.3,68.2,67.9,67.2,67.2,68.8
,14,69.6,67.9,67.5,67.5,65,65,68.3
,15,69.7,66,61.7,61,57.5,56.6,68.6
,16,69,55.3,49.6,51.3,48.7,51.7,69
,17,69.5,53.5,50.3,51.7,49.9,58.2,69.8
,18,68.6,59,58.9,55.3,54.4,61,69.2
,19,66.6,67.1,64,59.6,62.9,66.6,67.8
,20,68.9,68.5,67,64.9,67.2,68.1,68.5
,21,69.9,69.4,69.2,68,68.1,68.6,69.3
,22,70.4,70.1,69.7,67.6,68.5,69.1,69.5
,23,70.7,71.1,70.3,68.5,69.5,69.7,70.1
November,0,71,70.7,69.6,69.8,68.4,69.7,70
,1,71.1,69.7,69.1,69.2,67.6,68.8,69.7
,2,70.7,68.8,68.9,68.9,68.5,67.7,68.3
,3,70.8,69.7,69.6,69.7,69.3,69.3,68.8
,4,70.5,71.3,71.3,71.9,70.2,71.1,69.9
,5,71.1,70.7,69.4,71.3,70.9,70.3,70.8
,6,71.8,67,58.3,67.2,66.3,63.6,70.9
,7,72.6,62.8,59.4,59.9,62.4,59.2,70.9
,8,72.5,59.2,62.5,54.6,58.3,60.3,70.4
,9,72.2,64.4,64.8,62.9,62.1,66.2,70.7
,10,71.7,68.5,67.6,67.3,67.6,67.3,70.7
,11,71.6,68.8,67.8,68.5,68.3,65.9,70.5
,12,70.5,68.6,67.7,68.1,67.6,67.5,69.8
,13,69.8,68.6,67.4,67.5,66.8,67.9,69.1
,14,69.9,67.9,66.9,65.9,64.9,63.9,68.9
,15,69.9,65.8,58.5,57.8,56.6,51.1,69
,16,69.6,58.3,47.4,46.9,45.6,49.8,68.1
,17,68.8,56.6,47.9,45.4,44.2,59.9,68
,18,67.9,55.5,51.9,50.8,54.2,60.5,67.2
,19,69,66.1,62.6,57.2,64.4,65.5,67.8
,20,69.5,68.7,68,60.9,67.7,67.8,69.1
,21,69.9,69.5,68.7,66.4,68.4,68.9,69.6
,22,70.6,69.7,69.5,66.9,69.1,69.1,69.9
,23,70.6,70.1,69.8,67.1,69.8,70,70.5
December,0,68.9,69.7,70,70.1,70.3,67.4,69.7
,1,67.8,69.4,69.4,69.5,69.8,66.4,69.8
,2,67.7,69.4,69.3,68.9,69.4,65.5,69.4
,3,68,69.6,69.6,69.7,70.4,66.1,70.2
,4,68.7,71.2,71.9,71.7,71.5,68.9,70.1
,5,68.9,71.5,71.7,71.9,71,68.2,70.8
,6,69.2,67.3,67.6,67.7,66.1,65.2,70.2
,7,69.7,63.8,63,61.2,61.6,59,69.1
,8,71.4,64.6,65.3,62.5,63,61.7,67.5
,9,70.8,66.5,64.7,66.5,64.7,63.4,66.5
,10,70.7,68.8,63.7,68.1,66.5,64.5,65.7
,11,70.7,68.6,68.5,68.1,66.6,64.6,66.7
,12,69.9,68.1,68.6,68,66.4,64.9,65.8
,13,69.8,67.8,64.9,67.8,66.6,66,66.1
,14,69.4,67.3,67,66.4,65.7,62.7,66.3
,15,69.6,65.1,59.4,59.8,52.8,55.9,66.1
,16,69.2,57.6,50.7,49.5,48.9,51,66.4
,17,68.7,53.7,45.4,52.8,50.3,50.8,65.1
,18,68,53.7,51.2,53.1,52.3,53.3,64.6
,19,69,65.4,64.3,60.9,60.2,62.5,65.7
,20,69,68.2,67.8,68.3,65.1,66.1,66.5
,21,69.6,68.2,69.3,69.1,66.4,67.2,67.7
,22,69.9,69.1,69.9,69.9,67.6,67.9,67.1
,23,70.3,70.2,70.4,70.7,68.7,68.8,68.2
