Month,Time,Sun,Mon,Tues,Wed,Thurs,Fri,Sat
April,0,71.00,70.40,70.50,70.30,70.30,70.00,70.90
,1,69.30,69.70,69.20,69.90,70.40,69.20,70.90
,2,65.50,69.10,69.40,69.70,68.80,69.20,70.90
,3,68.20,70.40,69.70,70.30,69.90,69.80,71.00
,4,69.50,72.30,71.80,72.20,72.20,71.50,71.00
,5,70.90,71.90,70.80,72.00,71.80,70.50,71.70
,6,72.00,68.10,66.60,67.40,67.90,67.10,71.70
,7,72.90,64.90,62.00,62.50,62.50,60.60,71.70
,8,72.90,64.70,63.50,62.90,61.90,62.50,71.50
,9,72.00,66.20,65.70,65.20,66.40,67.00,70.40
,10,71.10,68.30,68.40,68.00,68.00,68.30,70.30
,11,71.20,69.00,68.90,68.50,68.20,68.10,69.90
,12,69.50,67.50,68.30,68.30,67.90,68.10,69.50
,13,69.30,66.30,67.30,68.40,68.00,68.00,68.70
,14,69.50,65.20,67.50,67.20,67.50,66.90,68.80
,15,69.80,60.90,61.30,60.10,60.90,57.40,68.70
,16,69.60,51.90,47.50,47.90,52.00,53.10,69.00
,17,70.70,54.80,47.90,50.40,50.90,54.40,69.70
,18,70.60,66.90,50.70,56.20,55.30,64.00,69.90
,19,71.50,69.20,66.20,67.40,68.30,69.30,69.60
,20,70.40,69.00,68.40,68.40,66.00,68.80,68.70
,21,70.00,69.40,69.00,69.30,67.30,69.00,68.50
,22,71.10,70.10,69.70,70.40,68.10,69.60,68.30
,23,71.30,70.60,70.50,70.90,68.20,70.30,69.80
May,0,70.10,71.10,70.70,70.60,70.30,70.60,69.80
,1,69.40,70.90,70.30,70.20,70.10,70.40,69.60
,2,69.10,70.10,70.10,69.70,69.50,70.20,70.00
,3,69.90,70.60,70.70,70.60,70.40,70.50,70.60
,4,70.40,72.30,72.30,72.10,72.20,72.20,70.90
,5,71.00,71.90,71.80,71.90,71.70,72.00,71.50
,6,72.30,68.40,68.70,68.50,67.70,68.30,72.40
,7,72.40,65.40,65.50,62.10,60.90,63.60,71.60
,8,71.90,60.80,59.60,61.60,61.10,66.60,71.00
,9,71.70,64.30,65.60,62.60,64.30,67.70,70.30
,10,69.20,68.20,68.10,67.10,66.40,68.60,69.90
,11,68.80,68.70,68.30,68.10,67.80,68.10,69.10
,12,69.40,68.40,67.80,67.60,67.50,67.50,68.80
,13,69.10,68.10,67.80,67.40,67.50,67.10,68.50
,14,69.50,67.40,67.20,65.10,66.90,65.80,68.30
,15,69.90,59.60,59.60,58.70,55.60,51.90,68.80
,16,67.80,50.50,47.60,47.50,47.00,47.20,69.00
,17,68.20,48.40,47.50,45.90,44.50,50.80,69.40
,18,70.50,46.40,55.50,52.50,48.40,62.70,70.20
,19,71.00,68.50,68.70,68.40,66.00,69.10,70.10
,20,71.20,69.80,69.80,69.50,68.40,69.00,67.40
,21,70.00,69.20,68.90,68.70,68.20,68.40,66.80
,22,70.70,70.30,70.00,69.70,69.30,69.00,67.80
,23,71.20,70.60,70.70,70.50,70.60,69.60,67.80
June,0,70.20,70.50,70.20,69.80,69.10,70.70,70.00
,1,70.20,70.20,69.70,69.60,69.90,69.70,70.40
,2,70.30,70.10,69.40,69.50,69.30,69.40,69.90
,3,70.90,70.10,70.10,70.20,69.90,70.50,70.30
,4,70.60,72.00,71.90,72.00,71.90,71.40,71.20
,5,71.60,71.70,71.50,71.60,71.80,69.70,71.60
,6,72.90,68.10,68.60,67.50,68.50,67.80,72.30
,7,72.30,62.70,66.00,61.20,65.70,65.40,71.00
,8,71.70,61.60,62.60,62.00,62.20,61.30,70.80
,9,71.10,65.90,65.90,66.40,65.90,67.20,70.00
,10,71.10,67.80,68.00,68.30,67.60,67.70,69.80
,11,70.10,67.80,68.20,68.30,68.10,68.20,69.30
,12,69.50,67.80,67.50,67.70,67.50,67.80,68.20
,13,68.70,68.00,67.90,67.80,67.00,67.20,67.80
,14,69.00,67.40,67.10,66.90,65.90,63.30,67.80
,15,69.40,64.00,62.40,60.60,53.60,55.10,68.00
,16,69.00,48.90,48.40,46.40,47.50,45.80,68.50
,17,70.00,50.60,46.70,48.10,45.70,51.70,69.10
,18,69.80,56.60,51.00,56.60,49.60,58.20,69.60
,19,68.70,66.70,64.10,68.90,63.50,68.60,70.40
,20,71.00,67.30,69.00,70.00,69.60,69.30,69.60
,21,69.50,67.10,67.80,68.40,68.80,67.70,68.00
,22,69.80,69.50,66.50,69.00,68.70,68.50,68.80
,23,70.70,70.00,68.40,69.90,70.30,69.50,69.60
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
