Month,Time,Sun,Mon,Tues,Wed,Thurs,Fri,Sat
Jul,0,69.3,66,68.1,68.8,68.9,69.1,68.9
,1,69,68.1,68,67.4,68.5,68.2,68.9
,2,69,68,67.3,67.2,68,68.2,68.8
,3,69,68.6,68.3,68.6,68.5,68.7,68.2
,4,69.1,70,70.1,69.9,70.1,69.8,68.9
,5,70,70.5,70.8,70.7,70.9,70.6,70.1
,6,71.7,61.2,61.4,61.2,63.1,64.4,68.3
,7,69.3,49.8,50.1,50.3,52.5,54,69.7
,8,70.8,47.1,49.1,49.1,51,52.2,69.9
,9,69.9,51.8,51.9,54.1,53.9,55.4,70.7
,10,69.7,66.9,63.3,60.8,61.6,62.7,70.3
,11,71.4,68.5,68,67.4,65.2,67.5,70.3
,12,71,68.3,68,68,66.8,64.5,69.7
,13,70.8,68.5,66.5,67.9,67.8,55.5,68.6
,14,70.5,68.2,65.6,67.5,65.3,51.8,68.5
,15,70.4,60.4,54.4,58,56.9,49.3,63.8
,16,71,48.5,45.5,42.7,51.5,53.8,66.2
,17,69.3,46.8,48,41,52.4,53.8,69.6
,18,66.4,57.8,51.5,46.9,53,68.1,69.8
,19,67.8,69.9,60.4,65.6,64.8,69.8,67.2
,20,70.3,70.8,68.8,70.7,68.7,66.8,69.9
,21,68.2,68,68.1,68.1,68.3,63.2,67.4
,22,68.2,67.8,68.7,68.6,68.8,67.3,67.6
,23,67.7,68.6,68.9,69,69.1,68.4,68.7
Aug,0,68.9,69.3,68.2,68.2,68.2,67.8,68.9
,1,69.5,69.2,68,68,67.9,68.3,69.1
,2,69.3,68.3,67.6,67.9,67.7,67.9,68.6
,3,68.9,69,68.4,68.3,68.3,68.4,68.3
,4,68.8,70.7,70,69.6,69.7,69.6,69.4
,5,70.1,71.2,70.7,70.5,70.3,70.6,70.3
,6,71,59.3,60.7,57.4,57.3,60.7,70.2
,7,70.8,51,51.1,49.7,48.7,51.4,71.1
,8,71.1,49.3,49.8,49.1,46.7,50.5,70.8
,9,71.5,50.9,49.9,53.5,48.2,56.8,70.5
,10,71.2,60.6,55.2,59.1,52.3,67.5,70
,11,71.2,68,66.7,66.3,61.9,66.2,68.5
,12,70.7,67.3,67.2,65.7,62.5,66,68.3
,13,70.5,68.4,65.4,60.2,65.4,62.4,69
,14,70.6,67.7,64.6,58.6,64.5,57.9,68.4
,15,71,59.4,52.5,53,57.3,47.5,67.5
,16,71.1,47.8,46.9,50.6,49.4,47.8,67.3
,17,69.4,49,46.6,50.7,45.2,52.2,69.2
,18,69.4,50,47.6,48.1,54.5,57.6,68.2
,19,71.6,63.8,64.2,63.6,63,68.6,69.1
,20,70.8,69,67.3,64.1,67,67.3,68.7
,21,69.5,67.9,67.3,65.8,66.5,65.4,66.2
,22,70,68.7,68.8,67.9,67.1,65.9,66.7
,23,69.9,68.9,68.7,68.1,67.9,66.3,68.8
Sep,0,70.3,69.5,69,69.3,69,69.4,70.1
,1,70.1,69.5,68.6,68.5,68.4,68.8,69.6
,2,69.9,69.1,68.1,68,68.1,68.3,69.2
,3,69.7,69.4,68.6,68.5,68.7,68.9,69
,4,69.7,71.1,70.5,70.4,70.5,70,69.2
,5,70.6,71.3,71,71.1,70.5,71,71
,6,70.8,63,59.3,58.9,58.3,58.8,70.2
,7,71.6,50.2,47.2,48.8,49.6,48.5,70.7
,8,72,48.8,49.3,48.8,49.5,49.8,71.1
,9,71.9,49.3,50.5,48.8,50.8,51.7,71
,10,71.9,64,58.8,57.4,56.8,62.2,70.8
,11,71.4,67.3,68.2,66.8,68.3,65.2,67.7
,12,71.2,66.6,67.6,65.7,67.3,66.1,69.3
,13,70.8,65.5,62.8,66.6,67.9,55.8,70
,14,71.3,65.5,63.5,65,60.8,55.5,70.2
,15,71.5,57,59,57.9,51.9,51.8,69.8
,16,71.4,50,54,45.1,44.9,46.8,70.2
,17,70.7,49.7,50.2,46.4,43.5,49.3,70.4
,18,71.2,62,55.7,47.8,47.9,56.9,69.8
,19,70.7,69,61.4,59,63.5,65.9,70.1
,20,69.4,68.4,68.3,64.1,63.1,67.2,68.3
,21,70.3,69.1,69.2,64.9,68.1,68.7,69.1
,22,70.4,69.1,69.7,68.9,69.5,69.4,69.1
,23,70.5,69.3,69.9,69.5,69.9,69.6,70.1
