Month,Time,Sun,Mon,Tues,Wed,Thurs,Fri,Sat
Jan,0,50.8,49.1,48.9,48.5,47.7,48.2,49.8
,1,50,49.1,48.9,48,47,47.7,49.7
,2,50.2,48.5,47.6,46.2,46.3,46.8,49.2
,3,49.7,49.1,48.8,47,47,48.4,49.3
,4,50.5,50.1,50.1,48.7,48.5,49.1,49.7
,5,52,48.1,48.9,48.3,46.6,47.2,50.9
,6,52.2,43.8,40.5,42.3,41.6,42.8,50.2
,7,53.1,32.1,30.3,31.7,34.1,36.9,50
,8,52.9,28.4,25,22.1,28.3,36.1,49.8
,9,51.9,33.3,29.6,31.5,35.8,36.3,49.1
,10,50.3,46.7,44.4,43.6,40.5,35.4,49.1
,11,49.5,46,46.2,44.2,43.3,44,48.4
,12,49.6,46.1,46.7,45.3,45,44.8,47.7
,13,48.5,46.1,46.6,45.2,46.1,44.5,48
,14,48.8,45.9,47,46.3,46.5,46.6,46.7
,15,48.6,47.1,46.1,46.9,46.2,46.4,46.7
,16,48.7,47,48.3,44,47.2,47.2,46.6
,17,48.5,47,47.2,45.8,47.8,48.3,46.4
,18,47.8,46,47.2,46.7,45.7,46.3,45.6
,19,48.8,46.2,48.1,47.7,47.2,46.5,48.3
,20,50,46.6,49.6,48.9,47.3,48.8,49.8
,21,50.3,47.2,48.8,49.1,48.4,49.5,49.8
,22,50.6,48.5,49.4,48.9,48.2,49.9,49.8
,23,50.5,48.2,49.3,49,48.5,50,50.5
Feb,0,48.3,50.1,49,48.2,48.8,48.6,48.8
,1,49.5,48.2,47.9,48.5,47.9,47.7,49.3
,2,49.8,47.6,48.2,47.4,47.3,48.2,48.7
,3,49,48.4,49,48.5,48.8,48.5,48.6
,4,48.7,49.2,50,46.8,49.9,49.8,49.1
,5,48.6,47,47.9,45.7,47.8,47.8,50.7
,6,49.7,40.8,40.6,40.2,41.3,43.9,50
,7,50.8,26.1,28.5,24.9,28.8,32.1,49.7
,8,50.9,20.5,19.3,17.2,18.5,22.9,45.7
,9,50.1,36.1,27.4,27,27.3,31.5,47.7
,10,49.6,44.7,43.4,42.2,34.2,44.2,48.1
,11,49.4,45.5,45.3,43,43.7,43.8,47.5
,12,48.9,46.1,46.3,44.9,45.7,39.6,46.4
,13,48.5,46.3,46.6,43.2,45.8,42.9,46
,14,47.7,46.4,46.5,44.6,46.1,44.7,46
,15,47.9,47.7,46.4,45.3,47.2,46.8,45.9
,16,47.8,48.5,48.6,48.1,48.6,47.9,46.4
,17,47.6,48.3,48.9,48.4,48.8,47.1,46.1
,18,46.4,47.5,47.5,47.4,47.3,47.1,45.2
,19,46.9,47.2,46.8,47.2,42.6,45.9,46.6
,20,48.3,49,48.6,48.7,45.2,48.2,47.3
,21,48.2,49.1,49.2,48.3,49.5,49.1,49
,22,49.1,49.6,49.2,48.9,49.4,48.4,48.9
,23,50.1,49.3,49.6,49,49.1,47.9,48.7
Mar,0,50,48.7,47.7,48.2,48.8,48.4,49.8
,1,49,48.3,46.6,47.6,48.2,48.2,49.7
,2,49,46.2,47.2,47.9,47.6,48.1,49.5
,3,49.2,47.7,47.6,48.1,48.2,48.4,49.2
,4,48.5,49.6,48.9,49.6,49.8,49.8,50.2
,5,49.2,47.3,47.2,47.8,47.9,48.1,51.2
,6,49.8,42.4,42.4,42,42.8,42.5,50
,7,50,27.1,27.3,22,30.8,28.6,49.2
,8,50.2,17.3,16.1,17.1,20.8,25.5,47.9
,9,50.1,31.7,20.6,21.8,24.9,39.2,47.3
,10,48.8,44.9,37.6,38.7,42.8,44.1,46.3
,11,48.6,46.7,43.1,44.1,42.6,43.6,46.2
,12,48.4,45.6,43.4,44.5,44,43.5,45.8
,13,48,46.1,45.1,44.2,43.5,43.4,46.4
,14,47.8,46.2,46.3,44.9,44.8,44.4,46.5
,15,47,46.9,47.8,45.1,45.8,46.3,46.1
,16,47.2,47.7,48.8,48.3,46.7,47.3,46.3
,17,47.7,48.6,47,43.8,47.3,46.7,45.7
,18,48.2,48.4,47.3,41.2,47.7,46.7,46.4
,19,47.9,48.3,48.3,42.2,47.7,45.5,46.2
,20,48.3,48,48.3,47.9,46.5,47.2,47.9
,21,48.8,48.8,48.7,48.7,46.3,48.3,48.6
,22,49.3,48.8,48.6,49,47.4,48.6,49
,23,49.6,47.7,49,49.6,48.3,49.3,50.1
