SensorID,Month,Mon,Tues,Wed,Thur,Fri,Sat,Sun
893332,1,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0
,4,0,0,0,0,0,0,0
,5,64.3,63.2,62.1,62.5,63.7,69.1,69.8
,6,62.8,63.1,61.9,62.7,63.6,68.9,70
,7,64.1,63.2,64,65,65.3,68.4,69.6
,8,63,62.4,62.4,62.3,63.6,68.6,70.1
,9,64.2,63.8,63.6,62.5,64.1,69.3,70.1
,10,64,63.3,62.8,62.8,64.6,69.4,70
,11,64.9,62,61,61.9,63.3,69.4,70.3
,12,65,62.8,63.4,62,61.7,66.8,69.5
893363,1,0,0,0,0,0,0,0
,2,59.1,52.6,53.6,0,0,63.7,64.4
,3,58.2,55.8,56.9,54.5,56.5,62.8,65.4
,4,59.2,57.8,57,56,56.5,64.6,65.7
,5,59.4,57.2,54.9,55.1,56.3,65,67.3
,6,58,56.5,54.7,55.5,54.5,62.4,67.4
,7,59.6,57.8,56.1,58,57.9,63.7,66.5
,8,59.8,57.6,57,55.5,55.6,56.4,65.3
,9,60.3,58.7,56.9,57.4,57.3,66.6,68.5
,10,59.1,57.7,57.1,56.6,55,66,66.8
,11,59.9,56.1,55.3,55.8,55.6,65.9,64.3
,12,59.7,55.5,56.8,54.9,53.6,62.2,67.4
893374,1,60.3,60.1,59,59.4,58.5,68.7,69.8
,2,62.2,59.6,58.1,58.4,58.3,68.6,69.1
,3,60.7,57.9,57.6,56.3,59.5,68.8,70
,4,60.8,59.4,59.1,57.6,59.6,68.9,69.7
,5,60.9,59.1,57.1,57.7,59.9,69.6,70.7
,6,58.9,57.8,58.3,58.4,58.5,69.2,70.4
,7,61.2,59.8,59.8,61,60.6,68.6,69.7
,8,60.1,58.6,58.2,58,60,68.8,70.5
,9,60.8,59.9,58.2,58.3,58.8,69.9,71
,10,61.2,59,58.8,59.2,58.7,69.9,70.9
,11,60.7,57.3,55.9,56.3,58,67.4,71.1
,12,61.1,54,56.2,58.1,56.6,66,70
899014,1,44.2,44.7,44.2,43,43.6,46.2,46.5
,2,44.6,44.6,44,44.3,44,46.4,45.8
,3,44.4,43.9,44.7,43.6,44.4,46.1,45.9
,4,45,45.2,44.8,44.4,44.9,46.9,46.5
,5,45.2,44.7,44,44.5,45,47.2,46.8
,6,44.6,44.6,44.1,44.3,44.3,46.5,47.5
,7,45,44.9,45.1,45,45.3,46.8,47.3
,8,45.3,45,44.8,44.5,45.2,46.7,47.7
,9,45.2,45.1,44.7,44.7,45,47.3,47.7
,10,45.2,45.1,44.8,44.6,44.2,47.4,46.7
,11,45.5,43.8,44,44.3,44.2,47.1,47.7
,12,45.3,44.8,45,44,43.2,46,47.2
899105,1,40.8,41.2,40.5,40.1,40.3,42.2,42.1
,2,40.9,40.9,40.2,41.1,40.6,41.9,41.4
,3,41,40.7,40.9,40.9,41.2,42,41.9
,4,40.9,41.3,41.2,40.6,41,41.8,41.9
,5,40.8,40.5,39.9,40.4,40.3,41.8,41.9
,6,40,40.5,40.1,40,40,41.4,41.8
,7,40.4,40.3,40.5,40.3,0.1,41.2,41.6
,8,40.5,40.4,39.8,40.1,40.4,41.2,41.3
,9,40.1,40.6,40,40.1,40.4,41.9,42
,10,41.2,41.2,41,41.4,40.3,40.7,42.5
,11,41.3,41.2,40.9,41,40.6,42.2,42.7
,12,41.1,41.2,41.2,40.7,39.8,41.4,42.4
899118,1,52.3,50.7,50.3,51.2,46.3,58.2,61.5
,2,52.8,50.1,48.2,49.3,46.5,59.6,61
,3,50.2,49.7,47.1,45.2,48.2,59.6,62
,4,50.6,50.2,50.2,49.7,47.8,56.2,62.3
,5,51.5,50.3,46.6,49.4,48.8,57.1,62.7
,6,50.8,50.6,46.7,47.6,46.4,59,62.9
,7,51.9,51.9,48.9,50.5,49.5,58.4,62.3
,8,53.2,53.2,50.5,48.9,47.8,46.5,57.9
,9,53.6,51.8,50,49.8,48.5,61.1,63.5
,10,48.9,48.7,48.7,48.9,45.2,61.1,62.2
,11,52.3,48.9,48.5,48.7,46.5,61.1,60
,12,51.9,48.3,50.1,48.5,46.4,56.7,62.4
899611,1,43.9,43.7,43.2,43.5,44.4,48.3,49.6
,2,43.8,43,42.1,42.2,43.1,47.1,48.5
,3,43.3,42.1,41.1,42.6,43.5,47.2,48.4
,4,43.2,42.2,41.8,42.6,43.2,47.4,48
,5,42.8,41.7,41.2,40.9,42.9,46.6,47.5
,6,40.8,39.4,38.5,38.9,41.3,45.4,43.7
,7,67.4,67.2,65.8,67.5,69.2,72.5,77
,8,66.4,66.4,65.8,65.6,70,75,78
,9,68.4,67.7,66,67.2,68,75.3,78.4
,10,68.5,67.5,67,67,68.9,77.4,77.9
,11,68.8,66.9,64.7,66.8,68.7,77.1,78.4
,12,70.1,69.1,66.5,69.4,68.6,74.6,79.3
