,lon,lat
0,-84.4874361,33.8691109
1,-84.4874543,33.8685961
2,-84.487427,33.8685432
3,-84.48737,33.8685102
4,-84.4872834,33.8685035
5,-84.486215,33.8684731
6,-84.4860919,33.8684602
7,-84.4859822,33.8684429
8,-84.485874,33.8684141
9,-84.485774,33.8683787
10,-84.4857074,33.8683367
11,-84.4856632,33.8682951
12,-84.4856463,33.8682791
13,-84.4855924,33.8682131
14,-84.4855725,33.8681583
15,-84.4855605,33.8681036
16,-84.4855426,33.8678559
17,-84.4855158,33.8677829
18,-84.4854759,33.8677223
19,-84.4854053,33.8676408
20,-84.4849036,33.8671908
21,-84.4848452,33.8671348
